Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Due Date,Votes,Description,Environment,Watchers,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Custom field (Account),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Iteration),Custom field (Rank),Sprint,Sprint,Custom field (Story Points),Custom field (Team),Custom field (Team Role)
Configure oauth 2 configurations,KAR-438,15467,11061,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,14/Nov/19 7:24 AM,14/Nov/19 7:34 AM,19/Nov/19 9:58 AM,14/Nov/19 7:34 AM,,,0,,,,"Configured in app.yml;14/Nov/19 7:25 AM;sanilkumar.p;3840",,,5400,1560,3840,71%,5400,1560,3840,,,,,,,,,"0|i00wvb:",KAR Sprint 3,,,,
Add the logic to unlove comment,KAR-429,15425,15424,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,13/Nov/19 2:58 PM,13/Nov/19 6:29 PM,19/Nov/19 9:58 AM,13/Nov/19 6:29 PM,Server side,13/Nov/19 12:00 AM,0,Add the logic to unlove comment,,sarangibalu.a,"Done;13/Nov/19 6:29 PM;sarangibalu.a;1800",,,1800,0,1800,100%,1800,0,1800,,KAR-428,,,,,,,"0|i00wm7:",KAR Sprint 3,,,,
Add the Api's to unlove comment,KAR-426,15421,15420,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,13/Nov/19 2:51 PM,13/Nov/19 6:28 PM,19/Nov/19 9:58 AM,13/Nov/19 6:28 PM,Server side,13/Nov/19 12:00 AM,0,Add the Api's to unlove comment,,sarangibalu.a,"Done;13/Nov/19 4:36 PM;sarangibalu.a;1800",,,1800,0,1800,100%,1800,0,1800,,KAR-425,,,,,,,"0|i00wlb:",KAR Sprint 3,,,,
"Add the logic to elapsed time for comments, replies, committed activity",KAR-423,15405,15389,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,13/Nov/19 12:31 PM,13/Nov/19 2:46 PM,19/Nov/19 9:58 AM,13/Nov/19 2:46 PM,Server side,13/Nov/19 12:00 AM,0,"Add the logic to elapsed time for comments, replies, committed activity",,sarangibalu.a,"Done;13/Nov/19 2:45 PM;sarangibalu.a;1800",,,1800,0,1800,100%,1800,0,1800,,KAR-418,,,,,,,"0|i00whz:",KAR Sprint 3,,,,
Add the API's to get the comments and replies by commit activity Id,KAR-422,15404,15389,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,13/Nov/19 12:29 PM,13/Nov/19 2:43 PM,19/Nov/19 9:58 AM,13/Nov/19 2:43 PM,Server side,13/Nov/19 12:00 AM,0,Add the API's to get the comments and replies by commit activity Id,,sarangibalu.a,"Done;13/Nov/19 2:43 PM;sarangibalu.a;1800",,,3600,1800,1800,50%,3600,1800,1800,,KAR-418,,,,,,,"0|i00whr:",KAR Sprint 3,,,,
get all dimensions,KAR-192,12483,11074,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,24/Sep/19 11:50 AM,24/Sep/19 11:50 AM,19/Nov/19 9:58 AM,24/Sep/19 11:50 AM,Server side,,0,get all dimensions,,sarangibalu.a,";24/Sep/19 11:50 AM;sarangibalu.a;1800",,,1800,0,1800,100%,1800,0,1800,,KAR-75,,,,,,,"0|i00euf:",KAR Sprint 1,KAR Sprint 3,,,
Load enums to karma admin-app,KAR-186,12422,11074,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,23/Sep/19 10:24 AM,24/Sep/19 11:46 AM,19/Nov/19 9:58 AM,24/Sep/19 11:46 AM,Server side,24/Sep/19 12:00 AM,0,Load enums to karma admin-app,,sarangibalu.a,"half done;23/Sep/19 2:04 PM;sarangibalu.a;13140","get all enum prooftypes;23/Sep/19 4:17 PM;sarangibalu.a;6060","Done;24/Sep/19 11:46 AM;sarangibalu.a;3600",14400,0,22800,158%,14400,0,22800,,KAR-75,,,,,,,"0|i00eh3:",KAR Sprint 1,KAR Sprint 3,,,
Create activities using karma admin-app,KAR-167,12037,11074,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,18/Sep/19 10:26 AM,18/Sep/19 4:57 PM,19/Nov/19 9:58 AM,18/Sep/19 4:56 PM,Server side,,0,Create activities using karma admin-app,,sarangibalu.a,"Done;18/Sep/19 10:28 AM;sarangibalu.a;3600","Done;18/Sep/19 4:52 PM;sarangibalu.a;7200",,7200,0,10800,150%,7200,0,10800,,KAR-75,,,,,,,"0|i00c4n:",KAR Sprint 1,KAR Sprint 3,,,
Update activity in admin app,KAR-118,11579,11074,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,04/Sep/19 11:43 AM,06/Sep/19 1:58 PM,19/Nov/19 9:58 AM,06/Sep/19 1:58 PM,Server side,,0,Update activity in admin app,,sarangibalu.a,"Half done;06/Sep/19 12:12 PM;sarangibalu.a;7200","Done;06/Sep/19 1:58 PM;sarangibalu.a;3600",,10800,0,10800,100%,10800,0,10800,,KAR-75,,,,,,,"0|i009b3:",KAR Sprint 1,KAR Sprint 3,,,
Refactoring create activity using karma admin app,KAR-121,11658,11074,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,05/Sep/19 9:42 AM,06/Sep/19 9:44 AM,19/Nov/19 9:58 AM,05/Sep/19 4:25 PM,Server side,,0,Refactoring create activity using karma admin app,,sarangibalu.a,"Almost done;05/Sep/19 10:52 AM;sarangibalu.a;4200","Done;05/Sep/19 4:25 PM;sarangibalu.a;15840","Done;06/Sep/19 9:44 AM;sarangibalu.a;1800",10800,0,21840,202%,10800,0,21840,,KAR-75,,,,,,,"0|i009qn:",KAR Sprint 1,KAR Sprint 3,,,
Create activity in admin app,KAR-79,11146,11074,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,30/Aug/19 10:04 AM,02/Sep/19 10:54 AM,19/Nov/19 9:58 AM,02/Sep/19 10:54 AM,Server side,,0,Create activity in admin app,,sarangibalu.a,"half completed;30/Aug/19 4:18 PM;sarangibalu.a;7860",";31/Aug/19 1:23 PM;sarangibalu.a;7200",,14400,0,15060,104%,14400,0,15060,,KAR-75,,,,,,,"0|i006p3:",KAR Sprint 1,KAR Sprint 3,,,
