Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Component/s,Due Date,Votes,Description,Environment,Watchers,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Custom field (Account),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Iteration),Custom field (Rank),Sprint,Custom field (Story Points),Custom field (Team),Custom field (Team Role)
Get registered user full details by user Id ,KAR-349,14547,11056,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,30/Oct/19 12:52 PM,06/Nov/19 6:59 PM,12/Nov/19 10:38 AM,06/Nov/19 6:59 PM,Server side,,,0,Get user by userId with profilepic,,sarangibalu.a,"Done;30/Oct/19 12:52 PM;sarangibalu.a;7920","Done;06/Nov/19 6:59 PM;sarangibalu.a;1800",,,10800,1080,9720,90%,10800,1080,9720,,KAR-69,,,,,,,,"0|i00rcn:",KAR Sprint 2,,,
Implementing logic to format time to get needed format,KAR-374,14958,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,muhammed.ruhail,muhammed.ruhail,muhammed.ruhail,06/Nov/19 4:46 PM,06/Nov/19 4:46 PM,12/Nov/19 10:38 AM,06/Nov/19 4:46 PM,,,,0,,,,";06/Nov/19 4:46 PM;muhammed.ruhail;4800",,,,7200,2400,4800,66%,7200,2400,4800,,,,,,,,,,"0|i00tun:",KAR Sprint 2,,,
Binding data with commentDTO from comment form to save comment,KAR-369,14925,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,muhammed.ruhail,muhammed.ruhail,muhammed.ruhail,06/Nov/19 12:25 PM,06/Nov/19 4:44 PM,12/Nov/19 10:38 AM,06/Nov/19 4:44 PM,,,,0,,,,";06/Nov/19 12:25 PM;muhammed.ruhail;8400","not completedyet
;06/Nov/19 1:13 PM;muhammed.ruhail;2760",,,10800,0,11160,103%,10800,0,11160,,,,,,,,,,"0|i00tnb:",KAR Sprint 2,,,
Modify and complete profile component,KAR-372,14934,10020,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,06/Nov/19 2:03 PM,06/Nov/19 3:09 PM,12/Nov/19 10:38 AM,06/Nov/19 3:09 PM,,,,0,,,,"User info part completed;06/Nov/19 3:08 PM;sanilkumar.p;9120",,,,12600,3480,9120,72%,12600,3480,9120,,,,,,,,,,"0|i00tpb:",KAR Sprint 2,,,
Adding componentProps attribute commitedActivityId to pass model view,KAR-368,14924,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,muhammed.ruhail,muhammed.ruhail,muhammed.ruhail,06/Nov/19 12:23 PM,06/Nov/19 12:23 PM,12/Nov/19 10:38 AM,06/Nov/19 12:23 PM,,,,0,,,,";06/Nov/19 12:23 PM;muhammed.ruhail;2700",,,,3600,900,2700,75%,3600,900,2700,,,,,,,,,,"0|i00tn3:",KAR Sprint 2,,,
Binding actual data from backend with home page of karma app,KAR-347,14478,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,muhammed.ruhail,muhammed.ruhail,muhammed.ruhail,29/Oct/19 2:49 PM,06/Nov/19 12:21 PM,12/Nov/19 10:38 AM,06/Nov/19 12:21 PM,,,,0,,,,";29/Oct/19 2:49 PM;muhammed.ruhail;4800",";29/Oct/19 4:40 PM;muhammed.ruhail;3900",,,10800,2100,8700,80%,10800,2100,8700,,,,,,,,,,"0|i00qxz:",KAR Sprint 2,,,
Use activity image as background,KAR-360,14815,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,02/Nov/19 5:44 PM,05/Nov/19 8:04 PM,12/Nov/19 10:38 AM,05/Nov/19 8:04 PM,,,,0,,,,,,,,3600,3600,,0%,3600,3600,,,,,,,,,,,"0|i00szr:",KAR Sprint 2,,,
Note down the methods  need in the backend for the home page,KAR-346,14477,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,29/Oct/19 2:29 PM,31/Oct/19 10:27 PM,12/Nov/19 10:38 AM,30/Oct/19 10:38 AM,,,,0,,,,"Wrote down the get and post methods for home and comment and reply pages;30/Oct/19 10:38 AM;sanilkumar.p;3600",,,,3600,0,3600,100%,3600,0,3600,,,,,,,,,,"0|i00qxr:",KAR Sprint 2,,,
Trying to resolve image binding issue in home page,KAR-352,14579,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,muhammed.ruhail,muhammed.ruhail,muhammed.ruhail,30/Oct/19 4:58 PM,30/Oct/19 4:59 PM,12/Nov/19 10:38 AM,30/Oct/19 4:59 PM,,,,0,,,,";30/Oct/19 4:58 PM;muhammed.ruhail;11400",,,,10800,0,11400,105%,10800,0,11400,,,,,,,,,,"0|i00rjr:",KAR Sprint 2,,,
Get all committed activities with Done Status in home page,KAR-319,14040,11055,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,23/Oct/19 9:35 AM,29/Oct/19 3:01 PM,12/Nov/19 10:38 AM,29/Oct/19 3:01 PM,Server side,,,0,Get all committed activities with Done Status in home page,,sarangibalu.a,"Done;23/Oct/19 11:17 AM;sarangibalu.a;5880","not completed;23/Oct/19 4:44 PM;sarangibalu.a;13500","not completed;25/Oct/19 12:10 AM;sarangibalu.a;8100","Done;29/Oct/19 3:01 PM;sarangibalu.a;15780",10800,0,43260,400%,10800,0,43260,,KAR-68,,,,,,,,"0|i00ocn:",KAR Sprint 2,,,
